HGNC ID,Approved symbol,Approved name,Status,Locus type,NCBI Gene ID(supplied by NCBI),OMIM ID(supplied by OMIM),,,,
HGNC:49667,ABALON,apoptotic BCL2L1-antisense long non-coding RNA,Approved,RNA, long non-coding,103021294,,,,
HGNC:23,ABAT,4-aminobutyrate aminotransferase,Approved,gene with protein product,18,137150,,,,
HGNC:29,ABCA1,ATP binding cassette subfamily A member 1,Approved,gene with protein product,19,600046,,,,
HGNC:32,ABCA2,ATP binding cassette subfamily A member 2,Approved,gene with protein product,20,600047,,,,
HGNC:33,ABCA3,ATP binding cassette subfamily A member 3,Approved,gene with protein product,21,601615,,,,
HGNC:55707,ABCA3P1,ABCA3 pseudogene 1,Approved,pseudogene,342293,,,,,
HGNC:34,ABCA4,ATP binding cassette subfamily A member 4,Approved,gene with protein product,24,601691,,,,
HGNC:35,ABCA5,ATP binding cassette subfamily A member 5,Approved,gene with protein product,23461,612503,,,,
HGNC:36,ABCA6,ATP binding cassette subfamily A member 6,Approved,gene with protein product,23460,612504,,,,
HGNC:37,ABCA7,ATP binding cassette subfamily A member 7,Approved,gene with protein product,10347,605414,,,,
HGNC:38,ABCA8,ATP binding cassette subfamily A member 8,Approved,gene with protein product,10351,612505,,,,
HGNC:39,ABCA9,ATP binding cassette subfamily A member 9,Approved,gene with protein product,10350,612507,,,,
HGNC:39983,ABCA9-AS1,ABCA9 antisense RNA 1,Approved,RNA, long non-coding,104355297,,,,
HGNC:30,ABCA10,ATP binding cassette subfamily A member 10,Approved,gene with protein product,10349,612508,,,,
HGNC:31,ABCA11P,ATP binding cassette subfamily A member 11, pseudogene,Approved,pseudogene,79963,,,,
HGNC:14637,ABCA12,ATP binding cassette subfamily A member 12,Approved,gene with protein product,26154,607800,,,,
HGNC:14638,ABCA13,ATP binding cassette subfamily A member 13,Approved,gene with protein product,154664,607807,,,,
HGNC:34405,ABCA15P,ATP binding cassette subfamily A member 15, pseudogene,Approved,pseudogene,400508,,,,
HGNC:32972,ABCA17P,ATP binding cassette subfamily A member 17, pseudogene,Approved,pseudogene,650655,,,,
HGNC:40,ABCB1,ATP binding cassette subfamily B member 1,Approved,gene with protein product,5243,171050,,,,
HGNC:45,ABCB4,ATP binding cassette subfamily B member 4,Approved,gene with protein product,5244,171060,,,,
HGNC:46,ABCB5,ATP binding cassette subfamily B member 5,Approved,gene with protein product,340273,611785,,,,
HGNC:47,ABCB6,ATP binding cassette subfamily B member 6 (Langereis blood group),Approved,gene with protein product,10058,605452,,,,
HGNC:48,ABCB7,ATP binding cassette subfamily B member 7,Approved,gene with protein product,22,300135,,,,
HGNC:49,ABCB8,ATP binding cassette subfamily B member 8,Approved,gene with protein product,11194,605464,,,,
HGNC:50,ABCB9,ATP binding cassette subfamily B member 9,Approved,gene with protein product,23457,605453,,,,
HGNC:41,ABCB10,ATP binding cassette subfamily B member 10,Approved,gene with protein product,23456,605454,,,,
HGNC:14114,ABCB10P1,ABCB10 pseudogene 1,Approved,pseudogene,56476,,,,,
HGNC:31129,ABCB10P3,ABCB10 pseudogene 3,Approved,pseudogene,728248,,,,,
HGNC:31130,ABCB10P4,ABCB10 pseudogene 4,Approved,pseudogene,100132289,,,,,
HGNC:42,ABCB11,ATP binding cassette subfamily B member 11,Approved,gene with protein product,8647,603201,,,,
HGNC:51,ABCC1,ATP binding cassette subfamily C member 1,Approved,gene with protein product,4363,158343,,,,
HGNC:53,ABCC2,ATP binding cassette subfamily C member 2,Approved,gene with protein product,1244,601107,,,,
HGNC:54,ABCC3,ATP binding cassette subfamily C member 3,Approved,gene with protein product,8714,604323,,,,
HGNC:55,ABCC4,ATP binding cassette subfamily C member 4,Approved,gene with protein product,10257,605250,,,,
HGNC:56,ABCC5,ATP binding cassette subfamily C member 5,Approved,gene with protein product,10057,605251,,,,
HGNC:40055,ABCC5-AS1,ABCC5 antisense RNA 1,Approved,RNA, long non-coding,100873982,,,,
HGNC:57,ABCC6,ATP binding cassette subfamily C member 6,Approved,gene with protein product,368,603234,,,,
HGNC:33352,ABCC6P1,ATP binding cassette subfamily C member 6 pseudogene 1,Approved,pseudogene,653190,,,,,
HGNC:33353,ABCC6P2,ATP binding cassette subfamily C member 6 pseudogene 2,Approved,pseudogene,730013,,,,,
HGNC:59,ABCC8,ATP binding cassette subfamily C member 8,Approved,gene with protein product,6833,600509,,,,
HGNC:60,ABCC9,ATP binding cassette subfamily C member 9,Approved,gene with protein product,10060,601439,,,,
HGNC:52,ABCC10,ATP binding cassette subfamily C member 10,Approved,gene with protein product,89845,612509,,,,
HGNC:14639,ABCC11,ATP binding cassette subfamily C member 11,Approved,gene with protein product,85320,607040,,,,
HGNC:14640,ABCC12,ATP binding cassette subfamily C member 12,Approved,gene with protein product,94160,607041,,,,
HGNC:16022,ABCC13,ATP binding cassette subfamily C member 13 (pseudogene),Approved,pseudogene,150000,608835,,,,
HGNC:61,ABCD1,ATP binding cassette subfamily D member 1,Approved,gene with protein product,215,300371,,,,
HGNC:62,ABCD1P1,ATP binding cassette subfamily D member 1 pseudogene 1,Approved,pseudogene,23785,,,,,
HGNC:63,ABCD1P2,ATP binding cassette subfamily D member 1 pseudogene 2,Approved,pseudogene,26983,,,,,
HGNC:64,ABCD1P3,ATP binding cassette subfamily D member 1 pseudogene 3,Approved,pseudogene,26982,,,,,
HGNC:65,ABCD1P4,ATP binding cassette subfamily D member 1 pseudogene 4,Approved,pseudogene,26957,,,,,
HGNC:42662,ABCD1P5,ATP binding cassette subfamily D member 1 pseudogene 5,Approved,pseudogene,642762,,,,,
HGNC:66,ABCD2,ATP binding cassette subfamily D member 2,Approved,gene with protein product,225,601081,,,,
HGNC:67,ABCD3,ATP binding cassette subfamily D member 3,Approved,gene with protein product,5825,170995,,,,
HGNC:68,ABCD4,ATP binding cassette subfamily D member 4,Approved,gene with protein product,5826,603214,,,,
HGNC:69,ABCE1,ATP binding cassette subfamily E member 1,Approved,gene with protein product,6059,601213,,,,
HGNC:70,ABCF1,ATP binding cassette subfamily F member 1,Approved,gene with protein product,23,603429,,,,
HGNC:53628,ABCF1-DT,ABCF1 divergent transcript,Approved,RNA, long non-coding,107986587,,,,
HGNC:71,ABCF2,ATP binding cassette subfamily F member 2,Approved,gene with protein product,10061,612510,,,,
HGNC:54751,ABCF2-H2BK1,ABCF2-H2BK1 readthrough,Approved,readthrough,114483834,,,,,
HGNC:48841,ABCF2P1,ATP binding cassette subfamily F member 2 pseudogene 1,Approved,pseudogene,344653,,,,,
HGNC:48842,ABCF2P2,ATP binding cassette subfamily F member 2 pseudogene 2,Approved,pseudogene,100422059,,,,,
HGNC:72,ABCF3,ATP binding cassette subfamily F member 3,Approved,gene with protein product,55324,618967,,,,
HGNC:73,ABCG1,ATP binding cassette subfamily G member 1,Approved,gene with protein product,9619,603076,,,,
HGNC:74,ABCG2,ATP binding cassette subfamily G member 2 (Junior blood group),Approved,gene with protein product,9429,603756,,,,
HGNC:13884,ABCG4,ATP binding cassette subfamily G member 4,Approved,gene with protein product,64137,607784,,,,
HGNC:13886,ABCG5,ATP binding cassette subfamily G member 5,Approved,gene with protein product,64240,605459,,,,
HGNC:13887,ABCG8,ATP binding cassette subfamily G member 8,Approved,gene with protein product,64241,605460,,,,
HGNC:17553,ABHD1,abhydrolase domain containing 1,Approved,gene with protein product,84696,612195,,,,
HGNC:18717,ABHD2,abhydrolase domain containing 2, acylglycerol lipase,Approved,gene with protein product,11057,612196,,,
HGNC:18718,ABHD3,abhydrolase domain containing 3, phospholipase,Approved,gene with protein product,171586,612197,,,
HGNC:20154,ABHD4,abhydrolase domain containing 4, N-acyl phospholipase B,Approved,gene with protein product,63874,619728,,,
HGNC:21396,ABHD5,abhydrolase domain containing 5, lysophosphatidic acid acyltransferase,Approved,gene with protein product,51099,604780,,,
HGNC:21398,ABHD6,abhydrolase domain containing 6, acylglycerol lipase,Approved,gene with protein product,57406,616966,,,
HGNC:23759,ABHD8,abhydrolase domain containing 8,Approved,gene with protein product,79575,,,,,
HGNC:25656,ABHD10,abhydrolase domain containing 10, depalmitoylase,Approved,gene with protein product,55347,618756,,,
HGNC:16407,ABHD11,abhydrolase domain containing 11,Approved,gene with protein product,83451,,,,,
HGNC:15868,ABHD12,abhydrolase domain containing 12, lysophospholipase,Approved,gene with protein product,26090,613599,,,
HGNC:19837,ABHD12B,abhydrolase domain containing 12B,Approved,gene with protein product,145447,,,,,
HGNC:20293,ABHD13,abhydrolase domain containing 13,Approved,gene with protein product,84945,,,,,
HGNC:24538,ABHD14A,abhydrolase domain containing 14A,Approved,gene with protein product,25864,618771,,,,
HGNC:38856,ABHD14A-ACY1,ABHD14A-ACY1 readthrough,Approved,readthrough,100526760,,,,,
HGNC:28235,ABHD14B,abhydrolase domain containing 14B,Approved,gene with protein product,84836,,,,,
HGNC:26971,ABHD15,abhydrolase domain containing 15,Approved,gene with protein product,116236,619894,,,,
HGNC:49685,ABHD15-AS1,ABHD15 antisense RNA 1,Approved,RNA, long non-coding,104355133,,,,
HGNC:13921,ABHD16A,abhydrolase domain containing 16A, phospholipase,Approved,gene with protein product,7920,142620,,,
HGNC:16128,ABHD16B,abhydrolase domain containing 16B,Approved,gene with protein product,140701,620190,,,,
HGNC:28756,ABHD17A,abhydrolase domain containing 17A, depalmitoylase,Approved,gene with protein product,81926,617942,,,
HGNC:28394,ABHD17AP1,ABHD17A pseudogene 1,Approved,pseudogene,728917,,,,,
HGNC:34041,ABHD17AP3,ABHD17A pseudogene 3,Approved,pseudogene,648359,,,,,
HGNC:34042,ABHD17AP4,ABHD17A pseudogene 4,Approved,pseudogene,729495,,,,,
HGNC:34043,ABHD17AP5,ABHD17A pseudogene 5,Approved,pseudogene,91219,,,,,
HGNC:34044,ABHD17AP6,ABHD17A pseudogene 6,Approved,pseudogene,644988,,,,,
HGNC:38508,ABHD17AP7,ABHD17A pseudogene 7,Approved,pseudogene,100133212,,,,,
HGNC:38509,ABHD17AP8,ABHD17A pseudogene 8,Approved,pseudogene,647144,,,,,
HGNC:38510,ABHD17AP9,ABHD17A pseudogene 9,Approved,pseudogene,100132251,,,,,
HGNC:24278,ABHD17B,abhydrolase domain containing 17B, depalmitoylase,Approved,gene with protein product,51104,617943,,,
HGNC:26925,ABHD17C,abhydrolase domain containing 17C, depalmitoylase,Approved,gene with protein product,58489,617944,,,
HGNC:26111,ABHD18,abhydrolase domain containing 18,Approved,gene with protein product,80167,,,,,
HGNC:11320,ABI1,abl interactor 1,Approved,gene with protein product,10006,603050,,,,
HGNC:20035,ABI1P1,abl interactor 1 pseudogene 1,Approved,pseudogene,326268,,,,,
HGNC:24011,ABI2,abl interactor 2,Approved,gene with protein product,10152,606442,,,,
HGNC:29859,ABI3,ABI family member 3,Approved,gene with protein product,51225,606363,,,,
HGNC:17265,ABI3BP,ABI family member 3 binding protein,Approved,gene with protein product,25890,606279,,,,
HGNC:1364,ABITRAM,actin binding transcription modulator,Approved,gene with protein product,54942,,,,,
HGNC:39851,ABITRAMP1,ABITRAM pseudogene 1,Approved,pseudogene,390403,,,,,
HGNC:76,ABL1,ABL proto-oncogene 1, non-receptor tyrosine kinase,Approved,gene with protein product,25,189980,,,
HGNC:77,ABL2,ABL proto-oncogene 2, non-receptor tyrosine kinase,Approved,gene with protein product,27,164690,,,
HGNC:78,ABLIM1,actin binding LIM protein 1,Approved,gene with protein product,3983,602330,,,,
HGNC:19195,ABLIM2,actin binding LIM protein family member 2,Approved,gene with protein product,84448,612544,,,,
HGNC:29132,ABLIM3,actin binding LIM protein family member 3,Approved,gene with protein product,22885,611305,,,,
HGNC:79,ABO,ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase,Approved,gene with protein product,28,110300,,,
HGNC:81,ABR,ABR activator of RhoGEF and GTPase,Approved,gene with protein product,29,600365,,,,
HGNC:55674,ABR-AS1,ABR antisense RNA 1,Approved,RNA, long non-coding,105371479,,,,
HGNC:30655,ABRA,actin binding Rho activating protein,Approved,gene with protein product,137735,609747,,,,
HGNC:21230,ABRACL,ABRA C-terminal like,Approved,gene with protein product,58527,,,,,
HGNC:25829,ABRAXAS1,abraxas 1, BRCA1 A complex subunit,Approved,gene with protein product,84142,611143,,,
HGNC:56461,ABRAXAS1P1,ABRAXAS1 pseudogene 1,Approved,pseudogene,100421580,,,,,
HGNC:56462,ABRAXAS1P2,ABRAXAS1 pseudogene 2,Approved,pseudogene,100133073,,,,,
HGNC:28975,ABRAXAS2,abraxas 2, BRISC complex subunit,Approved,gene with protein product,23172,611144,,,
HGNC:17369,ABT1,activator of basal transcription 1,Approved,gene with protein product,29777,618750,,,,
HGNC:39557,ABT1P1,activator of basal transcription 1 pseudogene 1,Approved,pseudogene,100420695,,,,,
HGNC:18275,ABTB1,ankyrin repeat and BTB domain containing 1,Approved,gene with protein product,80325,608308,,,,
HGNC:23842,ABTB2,ankyrin repeat and BTB domain containing 2,Approved,gene with protein product,25841,,,,,
HGNC:23844,ABTB3,ankyrin repeat and BTB domain containing 3,Approved,gene with protein product,121551,,,,,
HGNC:82,ACAA1,acetyl-CoA acyltransferase 1,Approved,gene with protein product,30,604054,,,,
HGNC:83,ACAA2,acetyl-CoA acyltransferase 2,Approved,gene with protein product,10449,604770,,,,
HGNC:55880,ACAA2P1,ACAA2 pseudogene 1,Approved,pseudogene,100420869,,,,,
HGNC:84,ACACA,acetyl-CoA carboxylase alpha,Approved,gene with protein product,31,200350,,,,
HGNC:85,ACACB,acetyl-CoA carboxylase beta,Approved,gene with protein product,32,601557,,,,
HGNC:87,ACAD8,acyl-CoA dehydrogenase family member 8,Approved,gene with protein product,27034,604773,,,,
HGNC:21497,ACAD9,acyl-CoA dehydrogenase family member 9,Approved,gene with protein product,28976,611103,,,,
HGNC:56086,ACAD9-DT,ACAD9 divergent transcript,Approved,RNA, long non-coding,123706524,,,,
HGNC:21597,ACAD10,acyl-CoA dehydrogenase family member 10,Approved,gene with protein product,80724,611181,,,,
HGNC:30211,ACAD11,acyl-CoA dehydrogenase family member 11,Approved,gene with protein product,84129,614288,,,,
HGNC:88,ACADL,acyl-CoA dehydrogenase long chain,Approved,gene with protein product,33,609576,,,,
HGNC:89,ACADM,acyl-CoA dehydrogenase medium chain,Approved,gene with protein product,34,607008,,,,
HGNC:90,ACADS,acyl-CoA dehydrogenase short chain,Approved,gene with protein product,35,606885,,,,
HGNC:91,ACADSB,acyl-CoA dehydrogenase short/branched chain,Approved,gene with protein product,36,600301,,,,
HGNC:92,ACADVL,acyl-CoA dehydrogenase very long chain,Approved,gene with protein product,37,609575,,,,
HGNC:319,ACAN,aggrecan,Approved,gene with protein product,176,155760,,,,
HGNC:16467,ACAP1,ArfGAP with coiled-coil, ankyrin repeat and PH domains 1,Approved,gene with protein product,9744,607763,,,
HGNC:16469,ACAP2,ArfGAP with coiled-coil, ankyrin repeat and PH domains 2,Approved,gene with protein product,23527,607766,,,
HGNC:41426,ACAP2-IT1,ACAP2 intronic transcript 1,Approved,RNA, long non-coding,100874306,,,,
HGNC:16754,ACAP3,ArfGAP with coiled-coil, ankyrin repeat and PH domains 3,Approved,gene with protein product,116983,,,,
HGNC:93,ACAT1,acetyl-CoA acetyltransferase 1,Approved,gene with protein product,38,607809,,,,
HGNC:94,ACAT2,acetyl-CoA acetyltransferase 2,Approved,gene with protein product,39,100678,,,,
HGNC:15453,ACBD3,acyl-CoA binding domain containing 3,Approved,gene with protein product,64746,606809,,,,
HGNC:40701,ACBD3-AS1,ACBD3 antisense RNA 1,Approved,RNA, long non-coding,107985353,,,,
HGNC:23337,ACBD4,acyl-CoA binding domain containing 4,Approved,gene with protein product,79777,619968,,,,
HGNC:23338,ACBD5,acyl-CoA binding domain containing 5,Approved,gene with protein product,91452,616618,,,,
HGNC:23339,ACBD6,acyl-CoA binding domain containing 6,Approved,gene with protein product,84320,616352,,,,
HGNC:17715,ACBD7,acyl-CoA binding domain containing 7,Approved,gene with protein product,414149,,,,,
HGNC:23989,ACCS,1-aminocyclopropane-1-carboxylate synthase homolog (inactive),Approved,gene with protein product,84680,608405,,,,
HGNC:34391,ACCSL,1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like,Approved,gene with protein product,390110,,,,,
HGNC:25070,ACD,ACD shelterin complex subunit and telomerase recruitment factor,Approved,gene with protein product,65057,609377,,,,
HGNC:2707,ACE,angiotensin I converting enzyme,Approved,gene with protein product,1636,106180,,,,
HGNC:13557,ACE2,angiotensin converting enzyme 2,Approved,gene with protein product,59272,300335,,,,
HGNC:56255,ACE2-DT,ACE2 divergent transcript,Approved,RNA, long non-coding,104798195,,,,
HGNC:44365,ACE3P,angiotensin I converting enzyme 3, pseudogene,Approved,pseudogene,100129123,,,,
HGNC:18356,ACER1,alkaline ceramidase 1,Approved,gene with protein product,125981,613491,,,,
HGNC:23675,ACER2,alkaline ceramidase 2,Approved,gene with protein product,340485,613492,,,,
HGNC:54674,ACER2P1,ACER2 pseudogene 1,Approved,pseudogene,645978,,,,,
HGNC:16066,ACER3,alkaline ceramidase 3,Approved,gene with protein product,55331,617036,,,,
HGNC:108,ACHE,acetylcholinesterase (Cartwright blood group),Approved,gene with protein product,43,100740,,,,
HGNC:17066,ACIN1,apoptotic chromatin condensation inducer 1,Approved,gene with protein product,22985,604562,,,,
HGNC:4035,ACKR1,atypical chemokine receptor 1 (Duffy blood group),Approved,gene with protein product,2532,613665,,,,
HGNC:1565,ACKR2,atypical chemokine receptor 2,Approved,gene with protein product,1238,602648,,,,
HGNC:23692,ACKR3,atypical chemokine receptor 3,Approved,gene with protein product,57007,610376,,,,
HGNC:1611,ACKR4,atypical chemokine receptor 4,Approved,gene with protein product,51554,606065,,,,
HGNC:21142,ACKR4P1,ACKR4 pseudogene 1,Approved,pseudogene,285737,,,,,
HGNC:115,ACLY,ATP citrate lyase,Approved,gene with protein product,47,108728,,,,
HGNC:19288,ACMSD,aminocarboxymuconate semialdehyde decarboxylase,Approved,gene with protein product,130013,608889,,,,
HGNC:34504,ACNATP,acyl-CoA:amino acid N-acyltransferase pseudogene,Approved,pseudogene,347275,,,,,
HGNC:117,ACO1,aconitase 1,Approved,gene with protein product,48,100880,,,,
HGNC:118,ACO2,aconitase 2,Approved,gene with protein product,50,100850,,,,
HGNC:33904,ACOD1,aconitate decarboxylase 1,Approved,gene with protein product,730249,615275,,,,
HGNC:33128,ACOT1,acyl-CoA thioesterase 1,Approved,gene with protein product,641371,614313,,,,
HGNC:18431,ACOT2,acyl-CoA thioesterase 2,Approved,gene with protein product,10965,609972,,,,
HGNC:19748,ACOT4,acyl-CoA thioesterase 4,Approved,gene with protein product,122970,614314,,,,
HGNC:33159,ACOT6,acyl-CoA thioesterase 6,Approved,gene with protein product,641372,614267,,,,
HGNC:24157,ACOT7,acyl-CoA thioesterase 7,Approved,gene with protein product,11332,602587,,,,
HGNC:15919,ACOT8,acyl-CoA thioesterase 8,Approved,gene with protein product,10005,608123,,,,
HGNC:17152,ACOT9,acyl-CoA thioesterase 9,Approved,gene with protein product,23597,300862,,,,
HGNC:18156,ACOT11,acyl-CoA thioesterase 11,Approved,gene with protein product,26027,606803,,,,
HGNC:24436,ACOT12,acyl-CoA thioesterase 12,Approved,gene with protein product,134526,614315,,,,
HGNC:20999,ACOT13,acyl-CoA thioesterase 13,Approved,gene with protein product,55856,615652,,,,
HGNC:119,ACOX1,acyl-CoA oxidase 1,Approved,gene with protein product,51,609751,,,,
HGNC:120,ACOX2,acyl-CoA oxidase 2,Approved,gene with protein product,8309,601641,,,,
HGNC:121,ACOX3,acyl-CoA oxidase 3, pristanoyl,Approved,gene with protein product,8310,603402,,,
HGNC:25621,ACOXL,acyl-CoA oxidase like,Approved,gene with protein product,55289,,,,,
HGNC:41112,ACOXL-AS1,ACOXL antisense RNA 1,Approved,RNA, long non-coding,400997,,,,
HGNC:122,ACP1,acid phosphatase 1,Approved,gene with protein product,52,171500,,,,
HGNC:123,ACP2,acid phosphatase 2, lysosomal,Approved,gene with protein product,53,171650,,,
HGNC:125,ACP3,acid phosphatase 3,Approved,gene with protein product,55,171790,,,,
HGNC:14376,ACP4,acid phosphatase 4,Approved,gene with protein product,93650,606362,,,,
HGNC:124,ACP5,acid phosphatase 5, tartrate resistant,Approved,gene with protein product,54,171640,,,
HGNC:29609,ACP6,acid phosphatase 6, lysophosphatidic,Approved,gene with protein product,51205,611471,,,
HGNC:33781,ACP7,acid phosphatase 7, tartrate resistant (putative),Approved,gene with protein product,390928,610490,,,
HGNC:126,ACR,acrosin,Approved,gene with protein product,49,102480,,,,
HGNC:17195,ACRBP,acrosin binding protein,Approved,gene with protein product,84519,608352,,,,
HGNC:54745,ACRP1,ACR pseudogene 1,Approved,pseudogene,645529,,,,,
HGNC:127,ACRV1,acrosomal vesicle protein 1,Approved,gene with protein product,56,102525,,,,
HGNC:29567,ACSBG1,acyl-CoA synthetase bubblegum family member 1,Approved,gene with protein product,23205,614362,,,,
HGNC:24174,ACSBG2,acyl-CoA synthetase bubblegum family member 2,Approved,gene with protein product,81616,614363,,,,
HGNC:26101,ACSF2,acyl-CoA synthetase family member 2,Approved,gene with protein product,80221,610465,,,,
HGNC:27288,ACSF3,acyl-CoA synthetase family member 3,Approved,gene with protein product,197322,614245,,,,
HGNC:3569,ACSL1,acyl-CoA synthetase long chain family member 1,Approved,gene with protein product,2180,152425,,,,
HGNC:3570,ACSL3,acyl-CoA synthetase long chain family member 3,Approved,gene with protein product,2181,602371,,,,
HGNC:40227,ACSL3-AS1,ACSL3 antisense RNA 1,Approved,RNA, long non-coding,105373904,,,,
HGNC:56529,ACSL3P1,ACSL3 pseudogene 1,Approved,pseudogene,100421637,,,,,
HGNC:3571,ACSL4,acyl-CoA synthetase long chain family member 4,Approved,gene with protein product,2182,300157,,,,
HGNC:16526,ACSL5,acyl-CoA synthetase long chain family member 5,Approved,gene with protein product,51703,605677,,,,
HGNC:16496,ACSL6,acyl-CoA synthetase long chain family member 6,Approved,gene with protein product,23305,604443,,,,
HGNC:40772,ACSL6-AS1,ACSL6 antisense RNA 1,Approved,RNA, long non-coding,101927693,,,,
HGNC:18049,ACSM1,acyl-CoA synthetase medium chain family member 1,Approved,gene with protein product,116285,614357,,,,
HGNC:32017,ACSM2A,acyl-CoA synthetase medium chain family member 2A,Approved,gene with protein product,123876,614358,,,,
HGNC:30931,ACSM2B,acyl-CoA synthetase medium chain family member 2B,Approved,gene with protein product,348158,614359,,,,
HGNC:10522,ACSM3,acyl-CoA synthetase medium chain family member 3,Approved,gene with protein product,6296,145505,,,,
HGNC:32016,ACSM4,acyl-CoA synthetase medium chain family member 4,Approved,gene with protein product,341392,614360,,,,
HGNC:26060,ACSM5,acyl-CoA synthetase medium chain family member 5,Approved,gene with protein product,54988,614361,,,,
HGNC:51295,ACSM5P1,acyl-CoA synthetase medium chain family member 5 pseudogene 1,Approved,pseudogene,100421779,,,,,
HGNC:31665,ACSM6,acyl-CoA synthetase medium chain family member 6,Approved,gene with protein product,142827,,,,,
HGNC:16091,ACSS1,acyl-CoA synthetase short chain family member 1,Approved,gene with protein product,84532,614355,,,,
HGNC:15814,ACSS2,acyl-CoA synthetase short chain family member 2,Approved,gene with protein product,55902,605832,,,,
HGNC:24723,ACSS3,acyl-CoA synthetase short chain family member 3,Approved,gene with protein product,79611,614356,,,,
HGNC:129,ACTA1,actin alpha 1, skeletal muscle,Approved,gene with protein product,58,102610,,,
HGNC:130,ACTA2,actin alpha 2, smooth muscle,Approved,gene with protein product,59,102620,,,
